,uid,location,age,cluster
110,255,chile,32.0,2
115,264,taiwan,23.0,2
118,271,pakistan,22.0,2
139,314,denmark,28.0,2
141,319,denmark,32.0,2
143,321,pakistan,24.0,2
145,329,pakistan,21.0,2
153,342,nigeria,28.0,2
173,399,nigeria,41.0,2
174,401,argentina,28.0,2
200,461,singapore,15.0,2
231,528,singapore,16.0,2
234,532,argentina,53.0,2
237,536,vietnam,20.0,2
240,543,vietnam,27.0,2
242,553,denmark,16.0,2
247,569,pakistan,28.0,2
249,573,egypt,31.0,2
281,637,singapore,20.0,2
299,681,indonesia,20.0,2
302,687,romania,35.0,2
336,775,saudi arabia,28.0,2
343,802,argentina,33.0,2
363,839,nigeria,40.0,2
380,869,romania,30.0,2
404,927,thailand,16.0,2
417,966,ireland,22.0,2
452,1049,ireland,34.0,2
483,1110,ireland,31.0,2
490,1130,venezuela,26.0,2
494,1141,chile,26.0,2
495,1142,austria,25.0,2
515,1182,indonesia,23.0,2
525,1199,argentina,28.0,2
528,1203,morocco,21.0,2
532,1213,argentina,19.0,2
540,1227,singapore,16.0,2
553,1253,colombia,22.0,2
559,1273,"spain""",27.0,2
573,1301,nigeria,18.0,2
581,1321,romania,24.0,2
585,1329,colombia,26.0,2
615,1394,argentina,28.0,2
646,1450,sweden,24.0,2
652,1460,egypt,34.0,2
658,1478,poland,25.0,2
667,1494,denmark,25.0,2
675,1516,ireland,31.0,2
680,1528,slovakia,22.0,2
685,1536,argentina,30.0,2
686,1537,bulgaria,26.0,2
716,1628,nigeria,20.0,2
721,1637,argentina,24.0,2
723,1640,nigeria,33.0,2
725,1642,pakistan,25.0,2
727,1644,pakistan,22.0,2
731,1651,poland,36.0,2
745,1681,nigeria,47.0,2
746,1685,ireland,38.0,2
750,1694,indonesia,26.0,2
753,1702,"portugal""",45.0,2
767,1734,nigeria,22.0,2
768,1735,singapore,18.0,2
769,1736,nigeria,26.0,2
777,1752,indonesia,22.0,2
781,1757,indonesia,16.0,2
785,1771,indonesia,38.0,2
787,1774,singapore,26.0,2
793,1784,poland,23.0,2
799,1798,romania,23.0,2
803,1806,japan,44.0,2
804,1808,romania,23.0,2
817,1828,indonesia,25.0,2
820,1834,poland,24.0,2
838,1884,pakistan,30.0,2
854,1917,singapore,33.0,2
856,1920,sweden,27.0,2
866,1939,japan,29.0,2
880,1967,sweden,19.0,2
898,2007,austria,53.0,2
922,2057,ireland,26.0,2
926,2065,singapore,16.0,2
939,2093,albania,19.0,2
963,2156,sweden,20.0,2
980,2202,austria,23.0,2
989,2227,austria,32.0,2
1011,2265,denmark,32.0,2
1039,2325,sweden,23.0,2
1067,2391,pakistan,45.0,2
1101,2478,pakistan,22.0,2
1103,2487,cuba,46.0,2
1106,2494,russia,27.0,2
1114,2511,greece,31.0,2
1156,2625,greece,21.0,2
1166,2662,argentina,33.0,2
1167,2667,greece,37.0,2
1186,2701,sweden,27.0,2
1234,2823,lithuania,46.0,2
1236,2825,indonesia,24.0,2
1238,2827,poland,23.0,2
1266,2879,costa rica,19.0,2
1275,2904,sweden,32.0,2
1278,2911,indonesia,20.0,2
1279,2912,indonesia,32.0,2
1280,2913,nigeria,30.0,2
1283,2919,egypt,27.0,2
1295,2944,nigeria,33.0,2
1308,2981,thailand,26.0,2
1313,2988,argentina,22.0,2
1314,2989,colombia,19.0,2
1317,2997,"spain""",20.0,2
1345,3047,sweden,16.0,2
1353,3065,cuba,27.0,2
1366,3091,ireland,27.0,2
1406,3178,cuba,32.0,2
1410,3182,austria,19.0,2
1416,3195,ireland,36.0,2
1429,3216,ireland,25.0,2
1442,3238,jordan,41.0,2
1462,3275,chile,29.0,2
1504,3372,ireland,26.0,2
1509,3381,algeria,17.0,2
1517,3398,andorra,29.0,2
1519,3403,"spain""",25.0,2
1520,3406,indonesia,32.0,2
1526,3414,singapore,21.0,2
1527,3415,argentina,16.0,2
1544,3448,nigeria,20.0,2
1555,3476,ireland,26.0,2
1572,3523,venezuela,16.0,2
1578,3545,venezuela,27.0,2
1603,3598,panama,67.0,2
1618,3635,taiwan,14.0,2
1639,3681,chile,24.0,2
1644,3688,ireland,22.0,2
1668,3732,ecuador,28.0,2
1678,3753,chile,25.0,2
1702,3808,austria,14.0,2
1712,3830,austria,28.0,2
1714,3832,greece,44.0,2
1752,3933,dominican republic,28.0,2
1797,4027,austria,18.0,2
1800,4031,bangladesh,24.0,2
1806,4043,argentina,26.0,2
1836,4125,austria,56.0,2
1841,4142,ireland,25.0,2
1850,4156,dominican republic,21.0,2
1872,4211,argentina,20.0,2
1879,4220,argentina,41.0,2
1881,4227,greece,34.0,2
1894,4254,panama,54.0,2
1905,4278,denmark,40.0,2
1931,4337,argentina,44.0,2
1932,4341,"spain""",49.0,2
1934,4346,japan,74.0,2
1940,4355,cuba,32.0,2
1956,4392,united arab emirates,46.0,2
1961,4408,yugoslavia,25.0,2
1966,4414,costa rica,43.0,2
1988,4467,argentina,32.0,2
2005,4493,indonesia,16.0,2
2008,4496,argentina,26.0,2
2009,4497,austria,25.0,2
2011,4499,austria,32.0,2
2025,4546,argentina,43.0,2
2028,4552,argentina,33.0,2
2032,4557,israel,28.0,2
2036,4563,sweden,20.0,2
2039,4566,romania,19.0,2
2049,4583,pakistan,19.0,2
2051,4586,urugua,36.0,2
2053,4588,argentina,27.0,2
2061,4606,argentina,43.0,2
2062,4610,argentina,35.0,2
2069,4620,argentina,50.0,2
2070,4621,peru,28.0,2
2072,4625,argentina,29.0,2
2076,4630,poland,28.0,2
2079,4633,argentina,27.0,2
2080,4635,costa rica,32.0,2
2081,4638,yugoslavia,37.0,2
2082,4641,poland,20.0,2
2083,4642,poland,21.0,2
2085,4644,yugoslavia,23.0,2
2100,4670,chile,26.0,2
2104,4676,austria,33.0,2
2108,4685,colombia,43.0,2
2111,4694,argentina,48.0,2
2118,4715,chile,20.0,2
2145,4782,romania,18.0,2
2150,4792,russia,18.0,2
2158,4810,sweden,32.0,2
2191,4897,russia,21.0,2
2197,4908,singapore,35.0,2
2209,4940,romania,29.0,2
2210,4943,austria,21.0,2
2216,4959,chile,32.0,2
2217,4960,bulgaria,61.0,2
2221,4966,argentina,35.0,2
2222,4968,chile,32.0,2
2227,4986,hong kong,36.0,2
2255,5036,argentina,47.0,2
2257,5041,russia,38.0,2
2262,5051,indonesia,22.0,2
2263,5052,russia,37.0,2
2264,5053,romania,15.0,2
2275,5068,chile,30.0,2
2282,5089,poland,32.0,2
2284,5092,chile,40.0,2
2288,5096,thailand,40.0,2
2293,5107,singapore,32.0,2
2315,5147,colombia,29.0,2
2316,5148,colombia,29.0,2
2322,5159,austria,75.0,2
2325,5167,peru,58.0,2
2340,5192,argentina,17.0,2
2348,5210,"france""",24.0,2
2353,5227,austria,22.0,2
2362,5241,guatemala,18.0,2
2367,5250,slovakia,24.0,2
2370,5255,austria,20.0,2
2374,5261,pakistan,19.0,2
2388,5292,pakistan,23.0,2
2396,5305,ireland,28.0,2
2401,5321,slovakia,24.0,2
2444,5412,romania,22.0,2
2474,5500,argentina,26.0,2
2494,5549,pakistan,28.0,2
2517,5589,romania,15.0,2
2533,5632,romania,31.0,2
2545,5656,pakistan,18.0,2
2591,5762,poland,31.0,2
2625,5838,poland,19.0,2
2653,5887,guatemala,21.0,2
2683,5970,austria,26.0,2
2688,5992,austria,22.0,2
2696,6008,trinidad and tobago,19.0,2
2697,6014,ireland,36.0,2
2739,6108,"n/a,",44.0,2
2756,6142,ireland,40.0,2
2784,6201,costa rica,24.0,2
2796,6235,poland,22.0,2
2811,6270,argentina,24.0,2
2832,6315,chile,27.0,2
2846,6346,austria,18.0,2
2849,6351,morocco,23.0,2
2856,6373,costa rica,33.0,2
2880,6427,argentina,27.0,2
2934,6547,saudi arabia,44.0,2
2963,6614,venezuela,26.0,2
2964,6616,croatia,22.0,2
2969,6641,austria,40.0,2
2970,6645,romania,19.0,2
2971,6646,sweden,24.0,2
2984,6677,indonesia,35.0,2
3007,6722,chile,35.0,2
3008,6723,argentina,50.0,2
3017,6740,costa rica,51.0,2
3037,6791,ireland,43.0,2
3045,6813,egypt,25.0,2
3090,6904,nigeria,32.0,2
3117,6959,la france,18.0,2
3131,6994,indonesia,29.0,2
3175,7076,argentina,47.0,2
3191,7104,russia,19.0,2
3194,7114,hong kong,43.0,2
3215,7171,argentina,41.0,2
3216,7172,romania,27.0,2
3218,7175,austria,41.0,2
3223,7187,austria,57.0,2
3245,7250,singapore,14.0,2
3251,7263,sweden,25.0,2
3279,7331,russia,21.0,2
3312,7416,singapore,22.0,2
3350,7492,saudi arabia,21.0,2
3387,7577,poland,37.0,2
3393,7593,thailand,39.0,2
3405,7612,dominican republic,33.0,2
3454,7709,israel,19.0,2
3461,7728,greece,31.0,2
3486,7783,egypt,32.0,2
3498,7810,austria,18.0,2
3504,7816,"n/a,",29.0,2
3520,7843,pakistan,41.0,2
3523,7852,egypt,16.0,2
3525,7857,argentina,33.0,2
3592,8012,venezuela,22.0,2
3610,8055,austria,23.0,2
3678,8215,south africa,21.0,2
3694,8254,singapore,38.0,2
3702,8272,ireland,35.0,2
3734,8333,venezuela,15.0,2
3746,8353,yugoslavia,22.0,2
3753,8366,argentina,38.0,2
3766,8390,pakistan,30.0,2
3784,8418,argentina,25.0,2
3797,8445,romania,42.0,2
3803,8474,croatia,19.0,2
3807,8481,argentina,32.0,2
3812,8493,macedonia,23.0,2
3824,8519,venezuela,13.0,2
