,uid,isbn,rating
0,252921,0399135782,8
1,12923,0440234743,10
2,21264,0440234743,5
3,31299,0440234743,10
4,131681,0440234743,9
5,136707,0440234743,6
6,211321,0440234743,8
7,27624,0452264464,8
8,36197,0452264464,8
9,95392,0452264464,5
10,240353,0452264464,9
11,254982,1841721522,10
12,1486,0971880107,5
13,4784,0971880107,2
14,5126,0971880107,5
15,8361,0971880107,2
16,10494,0971880107,3
17,11768,0971880107,8
18,12264,0971880107,7
19,13088,0971880107,6
20,13479,0971880107,4
21,23021,0971880107,10
22,23296,0971880107,6
23,24261,0971880107,6
24,26806,0971880107,9
25,28262,0971880107,8
26,28800,0971880107,7
27,33535,0971880107,3
28,33875,0971880107,10
29,34994,0971880107,5
30,35513,0971880107,8
31,36041,0971880107,3
32,36417,0971880107,3
33,37074,0971880107,8
34,37550,0971880107,3
35,37615,0971880107,1
36,40919,0971880107,5
37,41278,0971880107,5
38,42032,0971880107,2
39,42128,0971880107,2
40,44768,0971880107,7
41,47037,0971880107,5
42,49634,0971880107,4
43,54118,0971880107,7
44,54148,0971880107,2
45,57868,0971880107,2
46,58077,0971880107,9
47,59994,0971880107,7
48,60633,0971880107,8
49,61982,0971880107,6
50,64819,0971880107,4
51,67994,0971880107,2
52,71464,0971880107,1
53,72030,0971880107,8
54,73260,0971880107,6
55,73782,0971880107,8
56,73940,0971880107,8
57,74903,0971880107,5
58,76413,0971880107,7
59,76901,0971880107,7
60,78637,0971880107,8
61,79738,0971880107,3
62,83469,0971880107,5
63,85667,0971880107,7
64,87649,0971880107,2
65,88142,0971880107,9
66,90609,0971880107,4
67,92722,0971880107,1
68,100682,0971880107,8
69,100995,0971880107,2
70,101538,0971880107,7
71,101861,0971880107,5
72,106656,0971880107,5
73,108805,0971880107,2
74,109235,0971880107,7
75,111162,0971880107,9
76,115714,0971880107,1
77,120081,0971880107,4
78,123822,0971880107,5
79,125889,0971880107,4
80,126851,0971880107,4
81,127619,0971880107,8
82,128096,0971880107,5
83,128241,0971880107,2
84,130594,0971880107,8
85,132633,0971880107,7
86,133645,0971880107,6
87,135880,0971880107,3
88,140437,0971880107,6
89,144124,0971880107,3
90,145761,0971880107,5
91,148051,0971880107,5
92,148800,0971880107,6
93,154197,0971880107,6
94,154423,0971880107,4
95,157783,0971880107,6
96,158663,0971880107,7
97,160241,0971880107,10
98,160629,0971880107,6
99,161068,0971880107,1
100,163609,0971880107,9
101,165637,0971880107,5
102,169014,0971880107,5
103,169773,0971880107,2
104,174657,0971880107,4
105,175234,0971880107,7
106,176023,0971880107,3
107,178329,0971880107,4
108,178895,0971880107,5
109,179454,0971880107,4
110,180149,0971880107,4
111,180151,0971880107,5
112,181293,0971880107,7
113,181704,0971880107,7
114,184924,0971880107,2
115,187745,0971880107,8
116,191214,0971880107,2
117,193873,0971880107,6
118,194206,0971880107,6
119,201137,0971880107,5
120,203047,0971880107,2
121,205019,0971880107,6
122,208449,0971880107,4
123,211720,0971880107,5
124,216262,0971880107,5
125,218867,0971880107,3
126,219752,0971880107,7
127,222277,0971880107,7
128,223091,0971880107,7
129,225727,0971880107,1
130,225832,0971880107,2
131,226022,0971880107,7
132,226422,0971880107,3
133,228790,0971880107,5
134,229568,0971880107,3
135,229635,0971880107,1
136,230436,0971880107,1
137,231190,0971880107,5
138,232555,0971880107,2
139,233857,0971880107,2
140,235538,0971880107,8
141,236918,0971880107,8
142,237283,0971880107,7
143,241291,0971880107,1
144,241430,0971880107,1
145,244886,0971880107,5
146,246344,0971880107,7
147,248784,0971880107,4
148,257069,0971880107,7
149,257878,0971880107,8
150,258675,0971880107,1
151,258837,0971880107,4
152,258972,0971880107,5
153,262934,0971880107,2
154,263214,0971880107,1
155,263331,0971880107,4
156,264415,0971880107,3
157,264680,0971880107,2
158,265499,0971880107,7
159,266260,0971880107,2
160,267382,0971880107,6
161,267727,0971880107,9
162,267881,0971880107,2
163,268009,0971880107,4
164,269347,0971880107,4
165,276113,0971880107,7
166,278176,0971880107,9
167,14801,0345402871,7
168,48965,0345402871,7
169,67244,0345402871,8
170,180320,0345402871,7
171,204192,0345402871,9
172,233466,0345402871,8
173,267377,0345402871,7
174,13726,0345417623,7
175,16799,0345417623,7
176,18583,0345417623,8
177,24278,0345417623,7
178,31620,0345417623,7
179,39233,0345417623,9
180,49294,0345417623,5
181,52845,0345417623,8
182,53604,0345417623,10
183,66096,0345417623,6
184,103176,0345417623,9
185,119205,0345417623,9
186,121517,0345417623,7
187,155823,0345417623,8
188,221036,0345417623,8
189,227305,0345417623,6
190,245948,0345417623,8
191,254303,0345417623,6
192,82188,0553278398,9
193,128142,0553278398,8
194,19,0375759778,7
195,38502,0375759778,8
196,95703,0425163091,9
197,277641,0375406328,7
198,21402,0446310786,10
199,29981,0446310786,7
