,uid,isbn,rating
0,123629,0002005018,9
1,198013,0399135782,7
2,212449,0399135782,8
3,252921,0399135782,8
4,12923,0440234743,10
5,21264,0440234743,5
6,28123,0440234743,9
7,31299,0440234743,10
8,78754,0440234743,8
9,82114,0440234743,9
10,93055,0440234743,7
11,93772,0440234743,9
12,94139,0440234743,8
13,110127,0440234743,5
14,116127,0440234743,8
15,128463,0440234743,7
16,131681,0440234743,9
17,131703,0440234743,9
18,132144,0440234743,9
19,136707,0440234743,6
20,146816,0440234743,10
21,150400,0440234743,10
22,165842,0440234743,7
23,170580,0440234743,8
24,195347,0440234743,7
25,211321,0440234743,8
26,259846,0440234743,10
27,261378,0440234743,8
28,9,0452264464,6
29,27624,0452264464,8
30,36197,0452264464,8
31,95392,0452264464,5
32,102327,0452264464,8
33,153577,0452264464,8
34,240353,0452264464,9
35,254982,1841721522,10
36,12,1879384493,10
37,14,0061076031,5
38,14,0439095026,5
39,14,0689821166,6
40,1486,0971880107,5
41,4784,0971880107,2
42,5126,0971880107,5
43,8361,0971880107,2
44,10494,0971880107,3
45,11768,0971880107,8
46,12264,0971880107,7
47,13088,0971880107,6
48,13479,0971880107,4
49,23021,0971880107,10
50,23296,0971880107,6
51,24261,0971880107,6
52,26806,0971880107,9
53,26979,0971880107,2
54,28262,0971880107,8
55,28800,0971880107,7
56,33535,0971880107,3
57,33875,0971880107,10
58,34994,0971880107,5
59,35513,0971880107,8
60,36041,0971880107,3
61,36417,0971880107,3
62,36656,0971880107,8
63,37074,0971880107,8
64,37550,0971880107,3
65,37615,0971880107,1
66,40919,0971880107,5
67,41278,0971880107,5
68,42032,0971880107,2
69,42128,0971880107,2
70,44768,0971880107,7
71,47037,0971880107,5
72,49634,0971880107,4
73,49954,0971880107,1
74,54118,0971880107,7
75,54148,0971880107,2
76,57039,0971880107,5
77,57868,0971880107,2
78,58077,0971880107,9
79,59994,0971880107,7
80,60633,0971880107,8
81,61982,0971880107,6
82,63970,0971880107,8
83,64819,0971880107,4
84,67704,0971880107,5
85,67994,0971880107,2
86,71464,0971880107,1
87,72030,0971880107,8
88,73260,0971880107,6
89,73782,0971880107,8
90,73940,0971880107,8
91,74903,0971880107,5
92,76413,0971880107,7
93,76901,0971880107,7
94,78637,0971880107,8
95,79738,0971880107,3
96,83469,0971880107,5
97,83579,0971880107,8
98,85667,0971880107,7
99,87649,0971880107,2
100,88142,0971880107,9
101,90609,0971880107,4
102,91074,0971880107,3
103,92722,0971880107,1
104,100682,0971880107,8
105,100995,0971880107,2
106,101538,0971880107,7
107,101861,0971880107,5
108,106656,0971880107,5
109,108805,0971880107,2
110,109235,0971880107,7
111,111162,0971880107,9
112,114288,0971880107,5
113,115714,0971880107,1
114,120081,0971880107,4
115,123822,0971880107,5
116,125889,0971880107,4
117,126851,0971880107,4
118,127619,0971880107,8
119,128096,0971880107,5
120,128241,0971880107,2
121,130594,0971880107,8
122,130915,0971880107,7
123,132633,0971880107,7
124,133645,0971880107,6
125,135880,0971880107,3
126,140437,0971880107,6
127,144124,0971880107,3
128,145761,0971880107,5
129,148051,0971880107,5
130,148800,0971880107,6
131,150915,0971880107,4
132,154197,0971880107,6
133,154423,0971880107,4
134,157783,0971880107,6
135,158663,0971880107,7
136,160241,0971880107,10
137,160629,0971880107,6
138,161068,0971880107,1
139,163609,0971880107,9
140,165637,0971880107,5
141,169014,0971880107,5
142,169773,0971880107,2
143,174657,0971880107,4
144,175234,0971880107,7
145,176023,0971880107,3
146,177367,0971880107,3
147,178329,0971880107,4
148,178895,0971880107,5
149,179454,0971880107,4
150,180149,0971880107,4
151,180151,0971880107,5
152,181293,0971880107,7
153,181704,0971880107,7
154,183346,0971880107,4
155,184924,0971880107,2
156,187745,0971880107,8
157,190175,0971880107,3
158,191214,0971880107,2
159,193873,0971880107,6
160,194206,0971880107,6
161,197792,0971880107,3
162,201137,0971880107,5
163,202359,0971880107,7
164,203047,0971880107,2
165,205019,0971880107,6
166,208449,0971880107,4
