,uid,location,age,cluster
0,2,usa,18.0,1
1,4,portugal,17.0,1
3,11,australia,14.0,1
4,13,spain,26.0,1
5,18,brazil,25.0,1
6,19,",",14.0,1
7,20,usa,19.0,1
9,24,germany,19.0,1
11,27,usa,32.0,1
12,28,germany,24.0,1
13,29,mexico,19.0,1
14,30,usa,24.0,1
15,31,china,20.0,1
16,33,usa,34.0,1
17,35,usa,17.0,1
18,36,canada,24.0,1
19,37,spain,23.0,1
20,40,usa,32.0,1
21,41,usa,14.0,1
22,42,usa,17.0,1
24,46,germany,31.0,1
25,47,italy,21.0,1
26,50,united kingdom,17.0,1
27,51,usa,34.0,1
29,59,usa,23.0,1
30,61,usa,30.0,1
32,66,canada,30.0,1
33,71,canada,24.0,1
34,72,united kingdom,34.0,1
35,74,netherlands,30.0,1
36,75,usa,37.0,1
37,79,canada,20.0,1
41,98,new zealand,19.0,1
42,101,india,26.0,1
45,105,united kingdom,36.0,1
46,111,portugal,25.0,1
47,112,mexico,32.0,1
49,118,ghana,28.0,1
50,119,usa,35.0,1
51,120,france,13.0,1
52,123,usa,24.0,1
55,126,netherlands,24.0,1
56,127,switzerland,28.0,1
58,138,usa,28.0,1
59,140,germany,24.0,1
60,143,usa,26.0,1
63,150,iran,25.0,1
64,152,netherlands,26.0,1
65,153,france,24.0,1
66,156,bosnia and herzegovina,20.0,1
67,157,italy,36.0,1
68,158,germany,38.0,1
69,161,portugal,27.0,1
70,164,mexico,33.0,1
71,166,australia,20.0,1
73,171,brazil,29.0,1
75,174,sri lanka,31.0,1
77,178,usa,28.0,1
78,187,usa,29.0,1
79,188,usa,17.0,1
80,189,belgium,31.0,1
81,190,belgium,33.0,1
83,193,india,23.0,1
84,195,usa,23.0,1
85,196,malaysia,33.0,1
86,198,germany,21.0,1
87,200,united kingdom,27.0,1
88,205,turkey,23.0,1
90,209,malaysia,21.0,1
92,211,spain,21.0,1
93,212,philippines,21.0,1
94,214,usa,27.0,1
95,215,canada,20.0,1
99,229,india,22.0,1
100,234,finland,25.0,1
101,235,portugal,22.0,1
102,238,united kingdom,23.0,1
103,240,australia,20.0,1
104,245,usa,31.0,1
105,246,norway,16.0,1
106,248,canada,15.0,1
109,253,italy,28.0,1
114,262,usa,28.0,1
116,265,china,24.0,1
117,267,usa,29.0,1
119,274,italy,26.0,1
120,277,australia,15.0,1
121,278,usa,21.0,1
122,281,germany,31.0,1
123,284,spain,35.0,1
124,286,usa,17.0,1
125,288,usa,19.0,1
126,289,usa,15.0,1
127,292,usa,22.0,1
128,293,canada,25.0,1
129,295,usa,28.0,1
130,296,spain,21.0,1
131,297,usa,27.0,1
133,301,usa,32.0,1
135,304,usa,24.0,1
136,307,finland,27.0,1
138,309,united kingdom,30.0,1
142,320,usa,37.0,1
144,328,usa,33.0,1
148,333,spain,23.0,1
149,335,italy,27.0,1
150,336,spain,27.0,1
151,340,philippines,15.0,1
154,344,united kingdom,25.0,1
155,345,usa,27.0,1
156,346,canada,29.0,1
157,347,canada,34.0,1
158,352,usa,28.0,1
160,360,spain,33.0,1
162,368,usa,35.0,1
164,375,germany,28.0,1
167,386,iran,20.0,1
168,389,spain,22.0,1
170,394,united kingdom,25.0,1
171,395,spain,24.0,1
175,402,united kingdom,19.0,1
176,404,usa,37.0,1
179,411,usa,27.0,1
180,414,usa,34.0,1
181,416,usa,31.0,1
182,419,usa,14.0,1
183,420,australia,14.0,1
185,422,canada,23.0,1
186,425,canada,32.0,1
187,429,usa,25.0,1
189,442,united kingdom,24.0,1
191,448,usa,22.0,1
192,450,italy,31.0,1
193,451,usa,33.0,1
196,456,usa,31.0,1
198,458,usa,17.0,1
199,459,usa,37.0,1
201,462,usa,18.0,1
202,464,india,24.0,1
203,469,usa,18.0,1
204,471,australia,31.0,1
205,473,philippines,25.0,1
206,475,canada,34.0,1
208,478,usa,13.0,1
211,484,usa,17.0,1
213,488,usa,25.0,1
214,491,canada,26.0,1
218,498,usa,29.0,1
220,504,usa,29.0,1
222,514,usa,30.0,1
223,515,usa,24.0,1
224,517,usa,22.0,1
225,519,united kingdom,23.0,1
226,523,usa,19.0,1
227,524,australia,37.0,1
228,525,france,29.0,1
229,526,germany,35.0,1
230,527,germany,22.0,1
232,529,usa,28.0,1
235,533,united kingdom,31.0,1
241,551,india,19.0,1
243,555,italy,36.0,1
244,556,usa,31.0,1
246,561,usa,35.0,1
248,571,netherlands,23.0,1
250,574,spain,33.0,1
251,575,portugal,23.0,1
252,576,switzerland,35.0,1
253,579,india,29.0,1
254,580,spain,22.0,1
257,586,malaysia,26.0,1
260,593,canada,28.0,1
262,599,usa,36.0,1
263,600,iran,20.0,1
264,602,usa,23.0,1
266,607,china,31.0,1
267,608,usa,30.0,1
268,609,spain,34.0,1
269,610,spain,19.0,1
270,611,italy,24.0,1
271,612,usa,20.0,1
272,615,portugal,29.0,1
273,616,usa,34.0,1
276,622,brazil,23.0,1
278,630,france,33.0,1
279,632,usa,15.0,1
280,635,canada,24.0,1
282,642,usa,37.0,1
283,646,united kingdom,21.0,1
284,647,australia,35.0,1
285,654,canada,30.0,1
288,661,germany,22.0,1
289,662,canada,21.0,1
291,664,spain,26.0,1
292,668,india,27.0,1
293,669,india,24.0,1
294,673,india,23.0,1
295,676,italy,31.0,1
296,677,usa,27.0,1
298,680,usa,28.0,1
303,688,australia,14.0,1
304,689,france,22.0,1
306,691,united kingdom,25.0,1
309,696,canada,13.0,1
310,700,malaysia,16.0,1
311,701,usa,31.0,1
315,716,mexico,34.0,1
316,718,usa,30.0,1
319,725,portugal,24.0,1
323,745,germany,25.0,1
324,748,spain,14.0,1
325,750,switzerland,36.0,1
327,754,germany,33.0,1
328,755,china,24.0,1
329,757,usa,29.0,1
330,761,china,30.0,1
331,762,portugal,23.0,1
332,764,usa,28.0,1
334,771,usa,38.0,1
335,772,portugal,27.0,1
337,781,united kingdom,20.0,1
339,789,",",15.0,1
345,804,usa,38.0,1
346,807,germany,32.0,1
347,812,canada,17.0,1
350,816,italy,32.0,1
352,820,usa,38.0,1
353,821,italy,33.0,1
354,823,usa,36.0,1
355,825,usa,38.0,1
357,828,usa,35.0,1
358,829,usa,23.0,1
360,831,spain,21.0,1
361,837,usa,26.0,1
364,840,spain,21.0,1
365,841,usa,24.0,1
367,845,italy,25.0,1
369,847,spain,23.0,1
370,852,spain,27.0,1
372,856,spain,29.0,1
373,857,malaysia,25.0,1
375,860,united kingdom,26.0,1
377,866,spain,23.0,1
378,867,spain,27.0,1
379,868,spain,27.0,1
381,870,italy,19.0,1
382,871,usa,19.0,1
383,872,united kingdom,22.0,1
384,875,usa,32.0,1
385,881,canada,24.0,1
387,887,usa,30.0,1
389,893,italy,19.0,1
390,894,australia,22.0,1
392,897,australia,14.0,1
393,903,usa,19.0,1
394,907,usa,31.0,1
395,909,france,19.0,1
396,910,usa,25.0,1
398,912,usa,33.0,1
400,920,usa,28.0,1
401,922,canada,20.0,1
402,923,usa,21.0,1
403,926,portugal,29.0,1
406,930,usa,30.0,1
408,935,philippines,21.0,1
410,939,philippines,21.0,1
411,942,france,29.0,1
412,943,spain,24.0,1
413,946,united kingdom,23.0,1
414,953,italy,22.0,1
416,965,usa,24.0,1
418,968,spain,25.0,1
419,970,australia,15.0,1
420,971,ghana,22.0,1
421,975,usa,34.0,1
422,976,australia,28.0,1
423,978,usa,33.0,1
424,979,united kingdom,36.0,1
425,980,spain,23.0,1
427,985,spain,23.0,1
429,992,australia,33.0,1
430,995,new zealand,34.0,1
431,999,usa,21.0,1
432,1001,australia,19.0,1
433,1002,spain,25.0,1
436,1007,usa,16.0,1
437,1013,usa,23.0,1
438,1015,canada,18.0,1
439,1027,italy,18.0,1
442,1030,usa,29.0,1
443,1034,brazil,18.0,1
444,1035,usa,26.0,1
445,1036,usa,25.0,1
446,1037,usa,18.0,1
447,1038,usa,26.0,1
448,1039,usa,38.0,1
450,1044,usa,34.0,1
453,1051,china,17.0,1
454,1052,italy,31.0,1
455,1053,usa,20.0,1
456,1054,usa,37.0,1
457,1055,switzerland,30.0,1
458,1057,united kingdom,19.0,1
459,1058,france,23.0,1
461,1062,new zealand,16.0,1
463,1067,usa,37.0,1
464,1068,canada,18.0,1
465,1071,portugal,22.0,1
467,1073,italy,31.0,1
468,1076,usa,20.0,1
469,1078,spain,28.0,1
470,1080,usa,35.0,1
471,1081,spain,31.0,1
473,1088,usa,17.0,1
474,1089,usa,22.0,1
476,1091,spain,25.0,1
477,1094,usa,18.0,1
478,1099,usa,32.0,1
479,1102,spain,28.0,1
480,1104,malaysia,38.0,1
482,1109,usa,18.0,1
486,1122,usa,21.0,1
487,1125,usa,18.0,1
488,1126,spain,22.0,1
491,1136,spain,21.0,1
492,1139,spain,33.0,1
493,1140,usa,19.0,1
497,1144,spain,21.0,1
500,1151,united kingdom,22.0,1
501,1153,spain,26.0,1
502,1157,italy,34.0,1
503,1159,spain,25.0,1
504,1160,canada,18.0,1
505,1162,spain,31.0,1
506,1163,spain,32.0,1
507,1164,usa,35.0,1
508,1171,usa,32.0,1
509,1173,usa,22.0,1
510,1174,spain,32.0,1
511,1175,italy,27.0,1
512,1176,usa,29.0,1
513,1179,portugal,28.0,1
514,1180,usa,23.0,1
517,1186,australia,24.0,1
518,1187,australia,23.0,1
519,1188,usa,29.0,1
520,1190,spain,24.0,1
521,1191,usa,34.0,1
522,1196,spain,28.0,1
524,1198,germany,35.0,1
526,1201,usa,22.0,1
529,1205,canada,32.0,1
530,1209,usa,33.0,1
531,1212,germany,24.0,1
533,1214,germany,30.0,1
534,1215,united kingdom,17.0,1
535,1216,usa,24.0,1
536,1218,usa,27.0,1
537,1221,italy,34.0,1
538,1225,usa,22.0,1
539,1226,usa,14.0,1
541,1230,france,34.0,1
542,1231,new zealand,13.0,1
544,1233,italy,27.0,1
545,1236,usa,25.0,1
547,1239,turkey,37.0,1
548,1240,usa,36.0,1
549,1243,usa,34.0,1
551,1246,usa,36.0,1
554,1255,spain,23.0,1
555,1266,usa,19.0,1
557,1270,usa,33.0,1
560,1280,usa,34.0,1
561,1281,united kingdom,32.0,1
562,1282,germany,32.0,1
563,1283,usa,26.0,1
565,1285,germany,28.0,1
566,1287,usa,32.0,1
567,1288,usa,35.0,1
569,1290,portugal,26.0,1
570,1291,spain,34.0,1
571,1298,usa,20.0,1
572,1300,usa,37.0,1
575,1305,usa,17.0,1
576,1312,usa,23.0,1
577,1313,italy,30.0,1
578,1316,italy,18.0,1
580,1320,united kingdom,36.0,1
582,1322,usa,21.0,1
584,1328,usa,24.0,1
586,1333,australia,36.0,1
588,1337,canada,28.0,1
589,1338,usa,37.0,1
590,1339,australia,14.0,1
591,1340,usa,21.0,1
592,1346,usa,25.0,1
593,1352,italy,35.0,1
595,1356,spain,16.0,1
597,1359,usa,14.0,1
598,1360,usa,36.0,1
599,1362,spain,37.0,1
600,1364,canada,16.0,1
601,1365,usa,16.0,1
602,1367,australia,23.0,1
603,1370,usa,26.0,1
604,1371,usa,36.0,1
605,1374,usa,27.0,1
608,1382,usa,33.0,1
609,1383,australia,32.0,1
610,1384,usa,12.0,1
611,1387,usa,28.0,1
612,1388,spain,29.0,1
614,1393,spain,35.0,1
616,1396,usa,35.0,1
617,1397,usa,36.0,1
620,1403,usa,26.0,1
621,1404,germany,28.0,1
623,1407,spain,28.0,1
624,1408,usa,35.0,1
625,1410,usa,22.0,1
628,1414,netherlands,27.0,1
632,1422,spain,23.0,1
633,1423,united kingdom,39.0,1
635,1427,usa,22.0,1
637,1430,turkey,15.0,1
639,1437,usa,21.0,1
640,1438,canada,27.0,1
641,1441,spain,34.0,1
642,1443,australia,30.0,1
643,1444,mexico,26.0,1
644,1446,spain,23.0,1
645,1447,spain,31.0,1
647,1451,spain,22.0,1
648,1454,china,21.0,1
650,1457,usa,21.0,1
651,1458,",",15.0,1
653,1462,usa,15.0,1
655,1465,australia,15.0,1
656,1468,germany,20.0,1
657,1476,united kingdom,33.0,1
659,1479,usa,30.0,1
660,1481,iran,22.0,1
662,1483,usa,33.0,1
664,1487,usa,23.0,1
665,1491,united kingdom,22.0,1
666,1492,usa,31.0,1
669,1497,united kingdom,20.0,1
670,1501,united kingdom,35.0,1
671,1507,china,26.0,1
674,1515,usa,27.0,1
678,1525,australia,29.0,1
679,1527,spain,27.0,1
681,1530,usa,26.0,1
683,1532,usa,34.0,1
687,1544,united kingdom,31.0,1
689,1551,spain,29.0,1
690,1553,india,23.0,1
691,1560,india,22.0,1
692,1568,usa,37.0,1
693,1571,spain,32.0,1
694,1572,usa,26.0,1
695,1576,usa,24.0,1
697,1580,usa,16.0,1
699,1587,germany,19.0,1
700,1590,usa,15.0,1
704,1604,usa,24.0,1
706,1607,usa,29.0,1
707,1609,canada,30.0,1
708,1612,germany,24.0,1
710,1617,usa,24.0,1
711,1621,united kingdom,30.0,1
714,1626,usa,36.0,1
715,1627,china,28.0,1
717,1629,canada,18.0,1
718,1634,usa,33.0,1
719,1635,belgium,27.0,1
720,1636,germany,34.0,1
722,1638,canada,18.0,1
724,1641,usa,22.0,1
726,1643,australia,24.0,1
728,1645,germany,22.0,1
733,1656,spain,29.0,1
736,1662,australia,25.0,1
737,1666,usa,20.0,1
740,1671,italy,20.0,1
741,1672,usa,18.0,1
742,1677,australia,14.0,1
743,1678,spain,21.0,1
744,1680,italy,35.0,1
751,1698,united kingdom,21.0,1
752,1700,france,25.0,1
754,1704,canada,21.0,1
755,1707,spain,21.0,1
758,1713,mexico,24.0,1
759,1714,mexico,24.0,1
761,1717,germany,36.0,1
762,1718,usa,28.0,1
764,1724,spain,25.0,1
765,1731,spain,15.0,1
766,1732,usa,32.0,1
770,1737,usa,31.0,1
771,1738,usa,29.0,1
772,1740,usa,28.0,1
773,1741,usa,17.0,1
775,1743,usa,17.0,1
776,1747,spain,26.0,1
778,1754,switzerland,29.0,1
779,1755,germany,24.0,1
